"","df.Time_day","df.std.esn"
"1","01:10:48",83.876354457615
"2","01:20:48",84.830425684192
"3","02:20:48",84.9036617969182
"4","02:30:48",86.3006085259537
"5","02:40:48",86.345148853001
"6","02:50:48",85.8397496014551
"7","03:00:48",81.6886112757171
"8","03:10:48",84.7576048950357
"9","03:20:48",85.2606275657482
"10","03:30:48",84.094034579416
"11","03:40:47",83.2420025124782
"12","03:50:48",83.4361298072674
"13","04:00:48",84.7625380251301
"14","04:10:48",83.6881886136068
"15","04:20:48",84.903818726302
"16","04:30:48",82.6845287408523
"17","05:30:48",81.0288668463019
"18","05:40:48",83.0984088223829
"19","05:50:48",81.4641743087601
"20","06:00:48",82.7407303995697
"21","06:10:48",83.1174623028669
"22","06:20:48",81.5292791444643
"23","06:30:48",81.8873312572501
"24","06:40:47",80.6025066584055
"25","06:50:48",75.7785129973182
"26","07:00:48",76.306367604342
"27","07:10:48",76.9009400024222
"28","07:20:48",78.4174776345681
"29","07:30:48",81.3871931746613
"30","07:40:48",78.1888717226161
"31","07:50:48",76.2717551914462
"32","08:00:48",76.2164454166095
"33","08:10:47",78.8786941729866
"34","08:20:48",74.5674587202145
"35","08:30:48",76.5583999720766
"36","08:40:48",77.5245454023679
