"Max_SNR","day_in_decimal"
3.51811916338297,24.5833333333333
3.58404682685925,24.5486111111111
3.7543377966088,24.5347222222222
3.50945176105544,24.5208333333333
3.57195720313424,24.5
3.56498943079007,24.4861111111111
4.67446087414644,24.4722222222222
3.57643741787423,24.4583333333333
3.56201286117304,24.4513888888889
3.67258883302217,24.4305555555556
4.0400845745415,24.3680555555556
3.53712658605076,24.3194444444444
3.83966054925627,24.3125
4.09647812160505,24.3055555555556
4.00063884629204,24.2638888888889
3.93693993873907,24.2430555555556
4.11418669282557,24.2013888888889
3.5180366600363,24.1458333333333
3.57288992026427,24.1319444444444
3.81324536297404,24.1111111111111
3.67598854720847,24.0625
3.54851756122899,24.0555555555556
3.95508733729147,24.0208333333333
3.90501437756648,24
